supplier_name,sector,supplier_type,rating,on_time_pct,defect_rate_pct,active_discount,speed_class
AJ Madison Direct,Appliance,Product,B+,95.5,2.0,15% Volume,Next-Day Air
Abt Electronics,Appliance,Product,B+,95.9,2.4,6% Volume,2-Day Priority
P.C. Richard & Son,Appliance,Product,A,94.6,1.1,9% Volume,Standard (3-7 Days)
Apple Authorized Reseller,Mobile,Product,A,97.3,1.8,0% Volume,Next-Day Air
Best Buy Mobile Pro,Mobile,Product,A,93.8,2.3,5% Volume,Next-Day Air
Samsung Direct Store,Mobile,Product,A,95.0,1.5,8% Volume,2-Day Priority
Verizon Business Solutions,Mobile,Product,A+,96.4,0.9,10% Volume,Next-Day Air
T-Mobile for Business,Mobile,Product,B+,97.9,2.4,12% Volume,2-Day Priority
Unified Engineering Partners,Automotive,Parts,B,98.1,3.1,No Auth Discount,Next-Day Air
Rapid Industries Group,Automotive,Parts,A+,90.5,1.0,10% Enterprise Vol,Next-Day Air
Optimal Engineering Solutions,Automotive,Parts,A+,97.1,1.6,10% Enterprise Vol,Next-Day Air
Unified Tech LLC,Automotive,Parts,B,94.4,2.9,No Auth Discount,2-Day Priority
Summit Networks Partners,Automotive,Parts,B+,92.9,2.4,Net-30 Terms,Standard (3-5 Days)
Optimal Manufacturing Ltd.,Automotive,Parts,B,92.4,3.9,No Auth Discount,Standard (3-5 Days)
Elite Services Inc.,Automotive,Parts,B,93.4,2.9,No Auth Discount,2-Day Priority
Apex Networks Corp.,Automotive,Parts,A+,98.2,3.2,10% Enterprise Vol,2-Day Priority
Optimal Solutions Ltd.,Automotive,Parts,B+,91.5,2.0,Net-30 Terms,2-Day Priority
Advanced Components Solutions,Automotive,Parts,A,90.5,2.5,5% Preferred Partner,Next-Day Air
Structural Supply Group,Automotive,Parts,B,97.6,3.1,No Auth Discount,Next-Day Air
Core Industries Group,Automotive,Parts,A,91.2,2.7,5% Preferred Partner,Standard (3-5 Days)
Omni Industries Group,Automotive,Parts,B,92.2,3.7,No Auth Discount,Next-Day Air
Unified Services Ltd.,Automotive,Parts,B,97.5,1.5,No Auth Discount,Standard (3-5 Days)
Prime Systems International,Automotive,Parts,B,96.1,3.1,No Auth Discount,Next-Day Air
Core Works Global,Automotive,Parts,A,96.7,1.7,5% Preferred Partner,2-Day Priority
Prime Parts International,Automotive,Parts,A,96.6,1.1,5% Preferred Partner,2-Day Priority
Unified Industries LLC,Automotive,Parts,B+,97.4,3.4,Net-30 Terms,Next-Day Air
Apex Logistics Solutions,Automotive,Parts,A,95.0,1.5,5% Preferred Partner,Standard (3-5 Days)
Core Services Solutions,Automotive,Parts,B,93.3,1.3,No Auth Discount,Next-Day Air
Core Works Ltd.,Automotive,Parts,B+,92.2,2.2,Net-30 Terms,Next-Day Air
Omni Parts Partners,Automotive,Parts,A,93.1,2.1,5% Preferred Partner,Standard (3-5 Days)
Titan Parts Ltd.,Automotive,Parts,B+,96.2,2.2,Net-30 Terms,Next-Day Air
Precision Parts Inc.,Automotive,Parts,B+,90.8,2.8,Net-30 Terms,Next-Day Air
Apex Dynamics Group,Automotive,Parts,B,93.5,3.5,No Auth Discount,2-Day Priority
Omni Resources Partners,Automotive,Parts,A,94.6,3.1,5% Preferred Partner,Next-Day Air
Core Manufacturing Solutions,Automotive,Parts,B,92.8,1.3,No Auth Discount,Next-Day Air
Optimal Components Corp.,Automotive,Parts,A,91.9,1.9,5% Preferred Partner,Next-Day Air
Titan Parts Partners,Automotive,Parts,A+,93.7,1.2,10% Enterprise Vol,Standard (3-5 Days)
Titan Solutions Global,Automotive,Parts,A,91.2,2.7,5% Preferred Partner,Standard (3-5 Days)
Smart Supply Partners,Automotive,Parts,A+,90.8,3.8,10% Enterprise Vol,2-Day Priority
Prime Works International,Automotive,Parts,B,90.6,1.1,No Auth Discount,2-Day Priority
Core Tech Solutions,Automotive,Parts,B,92.5,2.5,No Auth Discount,Next-Day Air
Titan Parts Corp.,Automotive,Parts,B,91.5,2.5,No Auth Discount,Next-Day Air
Global Resources Inc.,Automotive,Parts,A,94.2,2.7,5% Preferred Partner,Standard (3-5 Days)
Titan Manufacturing Partners,Automotive,Parts,B,95.0,3.5,No Auth Discount,2-Day Priority
Summit Resources Solutions,Automotive,Parts,B,92.0,2.5,No Auth Discount,Next-Day Air
Nexus Dynamics Inc.,Automotive,Parts,B+,94.5,2.0,Net-30 Terms,2-Day Priority
Global Resources Co.,Automotive,Parts,B,90.9,3.9,No Auth Discount,Standard (3-5 Days)
Omni Industries Global,Automotive,Parts,A+,95.4,2.4,10% Enterprise Vol,Standard (3-5 Days)
Precision Services Solutions,Automotive,Parts,A+,90.7,1.2,10% Enterprise Vol,Standard (3-5 Days)
Industrial Components Inc.,Automotive,Parts,A+,97.2,2.2,10% Enterprise Vol,Next-Day Air
Core Works Corp.,Automotive,Parts,A+,94.3,2.8,10% Enterprise Vol,Next-Day Air
Advanced Manufacturing LLC,Automotive,Parts,A,94.6,1.1,5% Preferred Partner,2-Day Priority
Rapid Enterprises Group,Automotive,Parts,A+,95.6,2.6,10% Enterprise Vol,2-Day Priority
Rapid Dynamics Group,Automotive,Parts,B+,98.2,2.2,Net-30 Terms,Next-Day Air
Prime Resources International,Automotive,Parts,B+,97.0,2.0,Net-30 Terms,2-Day Priority
Nexus Resources Solutions,Automotive,Parts,B+,94.3,2.8,Net-30 Terms,Next-Day Air
Global Manufacturing Group,Automotive,Parts,B,97.7,3.7,No Auth Discount,Next-Day Air
Prime Engineering Inc.,Automotive,Parts,B+,90.1,3.6,Net-30 Terms,Standard (3-5 Days)
Global Components Co.,Automotive,Parts,A,90.6,2.1,5% Preferred Partner,Standard (3-5 Days)
Unified Manufacturing Co.,Automotive,Parts,B,92.2,2.7,No Auth Discount,Standard (3-5 Days)
Core Enterprises International,Automotive,Parts,A,97.1,2.1,5% Preferred Partner,Standard (3-5 Days)
Core Works Inc.,Automotive,Parts,B,94.6,3.1,No Auth Discount,Next-Day Air
Dynamic Industries Group,Automotive,Parts,A,91.6,3.1,5% Preferred Partner,Next-Day Air
Summit Networks Corp.,Automotive,Parts,A,96.6,2.1,5% Preferred Partner,Standard (3-5 Days)
Global Components Corp.,Automotive,Parts,A,97.5,1.5,5% Preferred Partner,Standard (3-5 Days)
Summit Networks Co.,Automotive,Parts,B+,98.6,3.6,Net-30 Terms,Standard (3-5 Days)
Eco Components Global,Automotive,Parts,B+,90.5,3.0,Net-30 Terms,Standard (3-5 Days)
Dynamic Tech Inc.,Automotive,Parts,A+,99.1,1.6,10% Enterprise Vol,Next-Day Air
Prime Works Co.,Automotive,Parts,B,91.7,1.7,No Auth Discount,2-Day Priority
Omni Enterprises Group,Automotive,Parts,A+,91.5,2.0,10% Enterprise Vol,2-Day Priority
Prime Systems Ltd.,Automotive,Parts,A+,99.4,3.4,10% Enterprise Vol,Next-Day Air
Dynamic Manufacturing Global,Automotive,Parts,A+,96.9,3.4,10% Enterprise Vol,Next-Day Air
Eco Solutions Corp.,Automotive,Parts,B+,96.0,2.0,Net-30 Terms,2-Day Priority
Titan Services Group,Automotive,Parts,B+,91.5,1.0,Net-30 Terms,Next-Day Air
Optimal Engineering Ltd.,Automotive,Parts,B,92.4,3.9,No Auth Discount,Standard (3-5 Days)
Prime Enterprises Ltd.,Automotive,Parts,A+,90.9,1.4,10% Enterprise Vol,2-Day Priority
Core Networks Partners,Automotive,Parts,B,97.0,3.5,No Auth Discount,2-Day Priority
Eco Resources Partners,Automotive,Parts,A,94.8,1.3,5% Preferred Partner,Next-Day Air
Nexus Manufacturing International,Automotive,Parts,B+,97.5,2.0,Net-30 Terms,2-Day Priority
Vortex Enterprises Solutions,Automotive,Parts,A+,94.9,2.4,10% Enterprise Vol,Standard (3-5 Days)
Vortex Logistics Inc.,Automotive,Parts,A+,96.2,2.2,10% Enterprise Vol,Next-Day Air
Rapid Solutions Solutions,Automotive,Parts,B+,93.3,3.8,Net-30 Terms,2-Day Priority
Prime Engineering LLC,Automotive,Parts,B,98.7,2.7,No Auth Discount,Standard (3-5 Days)
Core Parts Inc.,Automotive,Parts,A,95.2,1.7,5% Preferred Partner,2-Day Priority
Smart Industries Group,Automotive,Parts,B,92.5,1.5,No Auth Discount,Standard (3-5 Days)
Unified Parts LLC,Automotive,Parts,B,96.8,3.3,No Auth Discount,Standard (3-5 Days)
Apex Logistics Global,Automotive,Parts,A+,93.0,2.0,10% Enterprise Vol,2-Day Priority
Eco Networks Global,Automotive,Parts,B+,93.2,2.2,Net-30 Terms,Next-Day Air
Nexus Industries Solutions,Automotive,Parts,A,96.2,2.7,5% Preferred Partner,Standard (3-5 Days)
Titan Networks Partners,Automotive,Parts,B,93.2,3.7,No Auth Discount,Next-Day Air
Apex Systems Group,Automotive,Parts,B+,99.0,3.0,Net-30 Terms,Standard (3-5 Days)
Apex Supply Co.,Automotive,Parts,A+,96.3,2.8,10% Enterprise Vol,Next-Day Air
Optimal Logistics International,Automotive,Parts,A,96.4,3.9,5% Preferred Partner,Standard (3-5 Days)
Summit Logistics Inc.,Automotive,Parts,A+,98.9,1.4,10% Enterprise Vol,2-Day Priority
Optimal Dynamics Solutions,Automotive,Parts,A+,95.8,2.8,10% Enterprise Vol,Next-Day Air
Advanced Works Partners,Automotive,Parts,A+,92.7,1.2,10% Enterprise Vol,Standard (3-5 Days)
Vortex Works Partners,Automotive,Parts,B+,93.5,3.0,Net-30 Terms,Standard (3-5 Days)
Summit Resources Partners,Automotive,Parts,B+,99.3,2.8,Net-30 Terms,Next-Day Air
Eco Works Partners,Automotive,Parts,B,97.3,1.3,No Auth Discount,Next-Day Air
Omni Engineering Inc.,Automotive,Parts,B,97.2,1.7,No Auth Discount,2-Day Priority
Industrial Components LLC,Automotive,Parts,B,96.8,1.3,No Auth Discount,Next-Day Air
Smart Services Global,Automotive,Parts,A+,92.5,3.0,10% Enterprise Vol,Standard (3-5 Days)
Nexus Services Solutions,Automotive,Parts,A,95.4,1.9,5% Preferred Partner,Next-Day Air
Eco Solutions Co.,Automotive,Parts,A+,94.7,2.2,10% Enterprise Vol,Next-Day Air
Titan Solutions Ltd.,Automotive,Parts,B+,98.8,1.8,Net-30 Terms,Standard (3-5 Days)
Eco Tech Co.,Automotive,Parts,A,91.0,2.5,5% Preferred Partner,Next-Day Air
Precision Resources Ltd.,Automotive,Parts,A+,90.7,1.2,10% Enterprise Vol,Standard (3-5 Days)
Smart Systems Global,Automotive,Parts,A+,97.9,3.4,10% Enterprise Vol,Next-Day Air
Eco Enterprises Co.,Automotive,Parts,A,93.7,1.7,5% Preferred Partner,2-Day Priority
Apex Solutions Solutions,Automotive,Parts,B,95.1,2.1,No Auth Discount,Standard (3-5 Days)
Precision Tech International,Automotive,Parts,B+,99.2,1.2,Net-30 Terms,Standard (3-5 Days)
Smart Parts LLC,Automotive,Parts,B,99.1,2.1,No Auth Discount,Standard (3-5 Days)
Apex Engineering Partners,Automotive,Parts,A,91.3,2.3,5% Preferred Partner,2-Day Priority
Eco Systems Solutions,Automotive,Parts,B,99.2,1.7,No Auth Discount,2-Day Priority
Elite Industries Partners,Automotive,Parts,B+,92.8,2.8,Net-30 Terms,Next-Day Air
Rapid Tech Solutions,Automotive,Parts,B,93.8,2.3,No Auth Discount,2-Day Priority
Optimal Logistics Group,Automotive,Parts,A+,96.7,2.2,10% Enterprise Vol,Next-Day Air
Titan Networks Inc.,Automotive,Parts,A+,93.5,2.0,10% Enterprise Vol,2-Day Priority
Industrial Networks Corp.,Automotive,Parts,B,94.1,1.1,No Auth Discount,2-Day Priority
Omni Resources Solutions,Automotive,Parts,B+,95.0,2.0,Net-30 Terms,2-Day Priority
Smart Parts Ltd.,Automotive,Parts,B,94.0,2.5,No Auth Discount,Next-Day Air
Industrial Resources Partners,Automotive,Parts,B+,95.3,3.8,Net-30 Terms,2-Day Priority
Vortex Industries Solutions,Automotive,Parts,A,94.4,3.9,5% Preferred Partner,Standard (3-5 Days)
Unified Services LLC,Automotive,Parts,B+,91.6,3.6,Net-30 Terms,Standard (3-5 Days)
Omni Resources Group,Automotive,Parts,B+,97.1,1.6,Net-30 Terms,Next-Day Air
Unified Services Inc.,Automotive,Parts,A,94.0,2.5,5% Preferred Partner,Next-Day Air
Precision Enterprises Ltd.,Automotive,Product,A+,95.3,1.8,10% Enterprise Vol,Standard (3-5 Days)
Elite Tech Global,Automotive,Product,A,90.9,2.9,5% Preferred Partner,2-Day Priority
Core Enterprises Co.,Automotive,Product,A,95.7,2.7,5% Preferred Partner,Standard (3-5 Days)
Omni Systems Ltd.,Automotive,Product,B+,99.4,3.4,Net-30 Terms,Next-Day Air
Prime Works Group,Automotive,Product,B,94.3,1.3,No Auth Discount,Next-Day Air
Unified Systems LLC,Automotive,Product,B,91.3,1.3,No Auth Discount,Next-Day Air
Titan Engineering Ltd.,Automotive,Product,B+,90.3,1.8,Net-30 Terms,Standard (3-5 Days)
Smart Engineering Co.,Automotive,Product,B,95.9,1.9,No Auth Discount,Next-Day Air
Global Solutions Inc.,Automotive,Product,A,94.6,2.1,5% Preferred Partner,Standard (3-5 Days)
Omni Resources LLC,Automotive,Product,A,98.5,2.5,5% Preferred Partner,Next-Day Air
Prime Networks Solutions,Automotive,Product,A,95.4,3.9,5% Preferred Partner,Standard (3-5 Days)
Apex Parts International,Automotive,Product,B,94.9,1.9,No Auth Discount,Next-Day Air
Vortex Supply Co.,Automotive,Product,A,94.6,1.1,5% Preferred Partner,2-Day Priority
Prime Supply Ltd.,Automotive,Product,B,90.4,2.9,No Auth Discount,2-Day Priority
Unified Resources Co.,Automotive,Product,B,90.3,3.3,No Auth Discount,Standard (3-5 Days)
Vortex Tech Global,Automotive,Product,A+,99.1,1.6,10% Enterprise Vol,Next-Day Air
Unified Dynamics International,Automotive,Product,A,99.2,1.7,5% Preferred Partner,2-Day Priority
Apex Parts Partners,Automotive,Product,B+,98.5,1.0,Net-30 Terms,Next-Day Air
Core Industries Inc.,Automotive,Product,B,98.0,1.5,No Auth Discount,Standard (3-5 Days)
Nexus Tech Ltd.,Automotive,Product,A+,94.7,3.2,10% Enterprise Vol,2-Day Priority
Elite Parts Global,Automotive,Product,B+,99.2,1.2,Net-30 Terms,Standard (3-5 Days)
Structural Solutions Corp.,Automotive,Product,A,96.1,1.1,5% Preferred Partner,2-Day Priority
Eco Logistics Solutions,Automotive,Product,A,98.0,1.5,5% Preferred Partner,Standard (3-5 Days)
Precision Systems Ltd.,Automotive,Product,B,99.4,2.9,No Auth Discount,2-Day Priority
Dynamic Engineering Group,Automotive,Product,B+,94.4,2.4,Net-30 Terms,Standard (3-5 Days)
Titan Logistics International,Automotive,Product,A,94.4,1.9,5% Preferred Partner,Next-Day Air
Dynamic Logistics Solutions,Automotive,Product,B,92.6,1.1,No Auth Discount,2-Day Priority
Prime Components Co.,Automotive,Product,B+,99.0,2.0,Net-30 Terms,2-Day Priority
Core Works LLC,Automotive,Product,A+,97.9,3.4,10% Enterprise Vol,Next-Day Air
Nexus Dynamics Global,Automotive,Product,B,97.7,1.7,No Auth Discount,2-Day Priority
Titan Industries Partners,Automotive,Product,A+,97.2,1.2,10% Enterprise Vol,Standard (3-5 Days)
Rapid Components Corp.,Automotive,Product,A+,91.4,1.4,10% Enterprise Vol,2-Day Priority
Elite Systems Co.,Automotive,Product,B+,96.6,2.6,Net-30 Terms,2-Day Priority
Apex Supply Inc.,Automotive,Product,B,92.8,2.3,No Auth Discount,2-Day Priority
Optimal Networks Solutions,Automotive,Product,B+,91.7,2.2,Net-30 Terms,Next-Day Air
Summit Systems Inc.,Automotive,Product,A,95.6,2.1,5% Preferred Partner,Standard (3-5 Days)
Unified Resources Group,Automotive,Product,B+,97.1,2.6,Net-30 Terms,2-Day Priority
Rapid Manufacturing Co.,Automotive,Product,A+,96.3,2.8,10% Enterprise Vol,Next-Day Air
Prime Solutions International,Automotive,Product,B+,91.8,2.8,Net-30 Terms,Next-Day Air
Precision Solutions Corp.,Automotive,Product,A+,99.2,3.2,10% Enterprise Vol,2-Day Priority
Vortex Solutions Global,Automotive,Product,B+,97.4,1.4,Net-30 Terms,2-Day Priority
Elite Supply LLC,Automotive,Product,A+,98.1,3.6,10% Enterprise Vol,Standard (3-5 Days)
Core Tech Ltd.,Automotive,Product,B,98.0,2.5,No Auth Discount,Next-Day Air
Global Industries Solutions,Automotive,Product,A,93.4,2.9,5% Preferred Partner,2-Day Priority
Advanced Dynamics Inc.,Automotive,Product,A,90.8,1.3,5% Preferred Partner,Next-Day Air
Eco Components Solutions,Automotive,Product,B+,93.5,1.0,Net-30 Terms,Next-Day Air
Core Works International,Automotive,Product,A,95.6,3.1,5% Preferred Partner,Next-Day Air
Nexus Engineering Inc.,Automotive,Product,B+,98.7,1.2,Net-30 Terms,Standard (3-5 Days)
Smart Resources LLC,Automotive,Product,A+,96.7,3.2,10% Enterprise Vol,2-Day Priority
Rapid Enterprises International,Automotive,Product,A+,92.0,3.0,10% Enterprise Vol,Standard (3-5 Days)
Rapid Manufacturing Partners,Automotive,Product,A+,91.1,3.6,10% Enterprise Vol,Standard (3-5 Days)
Optimal Supply Partners,Automotive,Product,B,92.4,1.9,No Auth Discount,Next-Day Air
Rapid Resources Inc.,Automotive,Product,B+,99.0,2.0,Net-30 Terms,2-Day Priority
Nexus Networks Solutions,Automotive,Product,B,91.2,3.7,No Auth Discount,Next-Day Air
Industrial Enterprises Partners,Automotive,Product,B+,93.6,1.6,Net-30 Terms,Next-Day Air
Global Enterprises Global,Automotive,Product,A,98.9,2.9,5% Preferred Partner,2-Day Priority
Core Resources Partners,Automotive,Product,A,91.8,2.3,5% Preferred Partner,2-Day Priority
Vortex Enterprises Group,Automotive,Product,B+,91.3,3.8,Net-30 Terms,2-Day Priority
Precision Resources Group,Automotive,Product,A+,98.4,3.4,10% Enterprise Vol,Next-Day Air
Dynamic Logistics Partners,Automotive,Product,B,90.3,2.3,No Auth Discount,2-Day Priority
Optimal Tech Corp.,Automotive,Product,A+,91.3,2.8,10% Enterprise Vol,Next-Day Air
Omni Engineering LLC,Automotive,Product,A,94.8,2.3,5% Preferred Partner,2-Day Priority
Titan Tech Group,Automotive,Product,B,97.3,3.3,No Auth Discount,Standard (3-5 Days)
Omni Systems Global,Automotive,Product,A,96.9,1.9,5% Preferred Partner,Next-Day Air
Global Parts Global,Automotive,Product,A+,95.2,2.2,10% Enterprise Vol,Next-Day Air
Structural Logistics Partners,Automotive,Product,A,92.2,3.7,5% Preferred Partner,Next-Day Air
Prime Manufacturing Ltd.,Automotive,Product,A,95.6,3.1,5% Preferred Partner,Next-Day Air
Titan Systems Partners,Automotive,Product,A+,99.3,1.8,10% Enterprise Vol,Standard (3-5 Days)
Apex Tech Group,Automotive,Product,B+,98.2,3.2,Net-30 Terms,2-Day Priority
Nexus Tech Corp.,Automotive,Product,A,91.2,3.7,5% Preferred Partner,Next-Day Air
Prime Services Co.,Automotive,Product,A,93.6,1.1,5% Preferred Partner,2-Day Priority
Structural Services Group,Automotive,Product,B,95.6,2.1,No Auth Discount,Standard (3-5 Days)
Structural Industries Inc.,Automotive,Product,B,93.7,1.7,No Auth Discount,2-Day Priority
Advanced Components Group,Automotive,Product,B+,97.1,1.6,Net-30 Terms,Next-Day Air
Summit Parts Partners,Automotive,Product,A+,96.4,2.4,10% Enterprise Vol,Standard (3-5 Days)
Summit Logistics Group,Automotive,Product,B,93.6,2.1,No Auth Discount,Standard (3-5 Days)
Rapid Parts Inc.,Automotive,Product,A+,93.2,2.2,10% Enterprise Vol,Next-Day Air
Precision Solutions Partners,Automotive,Product,B,93.1,2.1,No Auth Discount,Standard (3-5 Days)
Apex Dynamics Global,Automotive,Product,A,90.8,1.3,5% Preferred Partner,Next-Day Air
Omni Industries Global,Automotive,Product,A+,95.4,2.4,10% Enterprise Vol,Standard (3-5 Days)
Nexus Systems Co.,Automotive,Product,A,92.1,1.1,5% Preferred Partner,2-Day Priority
Core Networks Solutions,Automotive,Product,B+,97.1,2.6,Net-30 Terms,2-Day Priority
Omni Networks Co.,Automotive,Product,A,90.6,2.1,5% Preferred Partner,Standard (3-5 Days)
Summit Components Group,Automotive,Product,A+,98.6,3.6,10% Enterprise Vol,Standard (3-5 Days)
Global Resources Inc.,Automotive,Product,A,94.2,2.7,5% Preferred Partner,Standard (3-5 Days)
Omni Solutions Corp.,Automotive,Product,B,98.8,2.3,No Auth Discount,2-Day Priority
Smart Industries Ltd.,Automotive,Product,B+,98.6,1.6,Net-30 Terms,Next-Day Air
Dynamic Works Corp.,Automotive,Product,B+,96.1,1.6,Net-30 Terms,Next-Day Air
Nexus Resources Ltd.,Automotive,Product,A,97.7,2.7,5% Preferred Partner,Standard (3-5 Days)
Rapid Works Inc.,Automotive,Product,A,91.4,3.9,5% Preferred Partner,Standard (3-5 Days)
Rapid Resources International,Automotive,Product,B+,92.3,3.8,Net-30 Terms,2-Day Priority
Eco Dynamics Global,Automotive,Product,B+,95.4,1.4,Net-30 Terms,2-Day Priority
Industrial Components Solutions,Automotive,Product,A+,93.1,2.6,10% Enterprise Vol,2-Day Priority
Omni Tech Global,Automotive,Product,A+,97.3,3.8,10% Enterprise Vol,2-Day Priority
Industrial Engineering Global,Automotive,Product,B+,94.7,1.2,Net-30 Terms,Standard (3-5 Days)
Precision Components Partners,Automotive,Product,A,92.7,1.7,5% Preferred Partner,2-Day Priority
Omni Manufacturing LLC,Automotive,Product,B,94.0,2.5,No Auth Discount,Next-Day Air
Rapid Logistics Global,Automotive,Product,B,95.0,2.5,No Auth Discount,Next-Day Air
Vortex Supply Inc.,Automotive,Product,B,90.2,1.7,No Auth Discount,2-Day Priority
Optimal Supply Group,Automotive,Product,A+,93.0,3.0,10% Enterprise Vol,Standard (3-5 Days)
Global Systems Solutions,Automotive,Product,A,93.9,2.9,5% Preferred Partner,2-Day Priority
Summit Resources International,Automotive,Product,B+,97.9,2.4,Net-30 Terms,Standard (3-5 Days)
Titan Components Co.,Automotive,Product,A,92.2,2.7,5% Preferred Partner,Standard (3-5 Days)
Optimal Enterprises International,Automotive,Product,A,90.1,1.1,5% Preferred Partner,2-Day Priority
Vortex Works Solutions,Automotive,Product,B+,94.3,3.8,Net-30 Terms,2-Day Priority
Rapid Networks Global,Automotive,Product,B+,96.3,2.8,Net-30 Terms,Next-Day Air
Precision Resources International,Automotive,Product,A+,98.5,2.0,10% Enterprise Vol,2-Day Priority
Apex Dynamics Solutions,Automotive,Product,A+,96.9,2.4,10% Enterprise Vol,Standard (3-5 Days)
Advanced Systems Co.,Automotive,Product,B,91.1,2.1,No Auth Discount,Standard (3-5 Days)
Elite Works Corp.,Automotive,Product,A,91.1,2.1,5% Preferred Partner,Standard (3-5 Days)
Advanced Industries International,Automotive,Product,B+,95.6,3.6,Net-30 Terms,Standard (3-5 Days)
Precision Parts Inc.,Automotive,Product,B+,90.8,2.8,Net-30 Terms,Next-Day Air
Precision Services Global,Automotive,Product,A+,98.3,2.8,10% Enterprise Vol,Next-Day Air
Industrial Works Corp.,Automotive,Product,A+,97.1,1.6,10% Enterprise Vol,Next-Day Air
Elite Tech LLC,Automotive,Product,A,98.8,1.3,5% Preferred Partner,Next-Day Air
Unified Parts Corp.,Automotive,Product,B+,91.2,3.2,Net-30 Terms,2-Day Priority
Prime Works Corp.,Automotive,Product,A+,95.2,3.2,10% Enterprise Vol,2-Day Priority
Core Parts Group,Industrial,Parts,A,94.3,1.3,5% Preferred Partner,Next-Day Air
Structural Engineering Partners,Industrial,Parts,A,91.0,2.5,5% Preferred Partner,Next-Day Air
Summit Manufacturing Inc.,Industrial,Parts,B,95.2,3.7,No Auth Discount,Next-Day Air
Optimal Works Group,Industrial,Parts,A,94.8,3.3,5% Preferred Partner,Standard (3-5 Days)
Summit Supply Corp.,Industrial,Parts,A+,91.8,3.8,10% Enterprise Vol,2-Day Priority
Elite Parts Co.,Industrial,Parts,A,90.1,3.1,5% Preferred Partner,Next-Day Air
Smart Dynamics LLC,Industrial,Parts,B,92.7,1.7,No Auth Discount,2-Day Priority
Dynamic Supply International,Industrial,Parts,A,94.6,3.1,5% Preferred Partner,Next-Day Air
Dynamic Industries International,Industrial,Parts,B,97.3,3.3,No Auth Discount,Standard (3-5 Days)
Rapid Components LLC,Industrial,Parts,B+,90.8,1.8,Net-30 Terms,Standard (3-5 Days)
Nexus Networks Global,Industrial,Parts,B+,93.6,3.6,Net-30 Terms,Standard (3-5 Days)
Eco Supply Partners,Industrial,Parts,B,90.0,2.5,No Auth Discount,Next-Day Air
Structural Engineering Solutions,Industrial,Parts,B,99.3,2.3,No Auth Discount,2-Day Priority
Precision Resources Solutions,Industrial,Parts,B+,98.3,2.8,Net-30 Terms,Next-Day Air
Summit Engineering Global,Industrial,Parts,A,97.6,2.1,5% Preferred Partner,Standard (3-5 Days)
Unified Tech Ltd.,Industrial,Parts,A,94.5,3.5,5% Preferred Partner,2-Day Priority
