part_number,brand,description,device_type,system,price_oem,in_stock,supplier,condition,base_price_raw
PRT_AUT_TRA_0001,Aisin,Direct-Shift Transmission Unit,Automotive,Transmission,2451.97,False,NAPA Auto Parts,New,2400
PRT_AUT_TRA_0002,ZF,Direct-Shift Transmission Unit,Automotive,Transmission,2249.69,False,Advance Auto Parts,New,2250
PRT_AUT_TRA_0003,Jatco,Direct-Shift Transmission Unit,Automotive,Transmission,1189.39,True,O'Reilly Auto Parts,Used,2100
PRT_AUT_TRA_0004,Valeo,Torque Converter Assembly,Automotive,Transmission,993.82,True,NAPA Auto Parts,Certified Pre-Owned,1200
PRT_AUT_TRA_0005,Exedy,Torque Converter Assembly,Automotive,Transmission,1148.63,True,AutoZone Commercial,New,1150
PRT_AUT_TRA_0006,Schaeffler,Torque Converter Assembly,Automotive,Transmission,870.88,True,O'Reilly Auto Parts,Refurbished,1250
PRT_AUT_BRA_0001,Bosch,ABS Wheel Speed Sensor,Automotive,Brakes,272.23,True,Advance Auto Parts,New,280
PRT_AUT_BRA_0002,Delphi,ABS Wheel Speed Sensor,Automotive,Brakes,247.51,True,NAPA Auto Parts,New,255
PRT_AUT_BRA_0003,Meyle,ABS Wheel Speed Sensor,Automotive,Brakes,163.06,True,NAPA Auto Parts,Refurbished,240
PRT_AUT_BRA_0004,ATE,Brake Master Cylinder,Automotive,Brakes,349.92,True,O'Reilly Auto Parts,Never Used (Old Stock),380
PRT_AUT_BRA_0005,TRW,Brake Master Cylinder,Automotive,Brakes,348.64,True,Advance Auto Parts,New,350
PRT_AUT_BRA_0006,Ate-Teves,Brake Master Cylinder,Automotive,Brakes,307.99,False,AutoZone Commercial,Certified Pre-Owned,370
PRT_AUT_SAF_0001,Autoliv,SRS Airbag Module,Automotive,Safety,1870.25,True,Advance Auto Parts,New,1850
PRT_AUT_SAF_0002,TRW,SRS Airbag Module,Automotive,Safety,1419.88,False,O'Reilly Auto Parts,Certified Pre-Owned,1750
PRT_AUT_SAF_0003,ZF,SRS Airbag Module,Automotive,Safety,1848.76,True,NAPA Auto Parts,New,1800
PRT_AUT_SAF_0004,Autoliv,Seatbelt Pre-Tensioner,Automotive,Safety,350.15,False,Advance Auto Parts,Certified Pre-Owned,420
PRT_AUT_SAF_0005,TRW,Seatbelt Pre-Tensioner,Automotive,Safety,272.1,True,Advance Auto Parts,Refurbished,395
PRT_AUT_SAF_0006,Takata,Seatbelt Pre-Tensioner,Automotive,Safety,375.9,True,O'Reilly Auto Parts,New,380
PRT_AUT_FUE_0001,Bosch,Fuel System Pressure Sensor,Automotive,Fuel System,377.61,True,NAPA Auto Parts,Never Used (Old Stock),420
PRT_AUT_FUE_0002,Delphi,Fuel System Pressure Sensor,Automotive,Fuel System,340.61,True,NAPA Auto Parts,Never Used (Old Stock),380
PRT_AUT_FUE_0003,Siemens VDO,Fuel System Pressure Sensor,Automotive,Fuel System,393.06,True,O'Reilly Auto Parts,New,395
PRT_AUT_FUE_0004,Delphi,High-Pressure Fuel Pump (EV),Automotive,Fuel System,941.06,True,O'Reilly Auto Parts,New,950
PRT_AUT_FUE_0005,Bosch,High-Pressure Fuel Pump (EV),Automotive,Fuel System,598.91,False,NAPA Auto Parts,Refurbished,880
PRT_AUT_FUE_0006,Denso,High-Pressure Fuel Pump (EV),Automotive,Fuel System,704.77,False,NAPA Auto Parts,Certified Pre-Owned,860
PRT_AUT_EXH_0001,Walker,Catalytic Converter (OEM Spec),Automotive,Exhaust,2189.43,True,AutoZone Commercial,New,2200
PRT_AUT_EXH_0002,Magneti-Marelli,Catalytic Converter (OEM Spec),Automotive,Exhaust,1952.17,True,O'Reilly Auto Parts,New,1950
PRT_AUT_EXH_0003,Eastern,Catalytic Converter (OEM Spec),Automotive,Exhaust,1759.45,False,O'Reilly Auto Parts,New,1800
PRT_AUT_EXH_0004,Bosch,Lambda / O2 Sensor,Automotive,Exhaust,95.47,True,NAPA Auto Parts,New,95
PRT_AUT_EXH_0005,Denso,Lambda / O2 Sensor,Automotive,Exhaust,87.48,True,Advance Auto Parts,New,88
PRT_AUT_EXH_0006,NGK,Lambda / O2 Sensor,Automotive,Exhaust,92.11,True,Advance Auto Parts,New,92
PRT_AUT_COM_0001,Aptiv,Central Gateway (High-Voltage),Automotive,Communication,958.49,True,O'Reilly Auto Parts,Refurbished,1450
PRT_AUT_COM_0002,Continental,Central Gateway (High-Voltage),Automotive,Communication,926.51,True,AutoZone Commercial,New,950
PRT_AUT_COM_0003,Bosch,Central Gateway (High-Voltage),Automotive,Communication,975.01,True,O'Reilly Auto Parts,New,980
PRT_AUT_THR_0001,Bosch,Electronic Throttle Body,Automotive,Throttle,210.42,True,NAPA Auto Parts,Used,380
PRT_AUT_THR_0002,Denso,Electronic Throttle Body,Automotive,Throttle,362.23,False,NAPA Auto Parts,New,360
PRT_AUT_THR_0003,Siemens VDO,Electronic Throttle Body,Automotive,Throttle,369.18,True,AutoZone Commercial,New,370
PRT_AUT_EMI_0001,Bosch,EVAP Canister Purge Valve,Automotive,Emissions,184.62,True,O'Reilly Auto Parts,New,180
PRT_AUT_EMI_0002,ACDelco,EVAP Canister Purge Valve,Automotive,Emissions,110.49,False,AutoZone Commercial,Refurbished,160
PRT_AUT_EMI_0003,Delphi,EVAP Canister Purge Valve,Automotive,Emissions,167.43,True,AutoZone Commercial,New,170
PRT_AUT_IGN_0001,Bosch,Camshaft Position Sensor,Automotive,Ignition,321.63,False,Advance Auto Parts,New,320
PRT_AUT_IGN_0002,Delphi,Camshaft Position Sensor,Automotive,Ignition,196.15,True,O'Reilly Auto Parts,Refurbished,295
PRT_AUT_IGN_0003,Standard Motor,Camshaft Position Sensor,Automotive,Ignition,301.48,False,NAPA Auto Parts,New,305
PRT_MOB_DIS_0001,Samsung Display,LTPO Pro-Grade OLED Panel,Mobile,Display,445.64,True,Digi-Key Electronics,New,450
PRT_MOB_DIS_0002,LG Display,LTPO Pro-Grade OLED Panel,Mobile,Display,423.83,True,iFixit Pro,New,420
PRT_MOB_DIS_0003,BOE,LTPO Pro-Grade OLED Panel,Mobile,Display,268.91,False,iFixit Pro,Refurbished,395
PRT_MOB_DIS_0004,Apple Certified,Retina XDR Display Assembly,Mobile,Display,401.3,True,iFixit Pro,Certified Pre-Owned,480
PRT_MOB_DIS_0005,JDI,Retina XDR Display Assembly,Mobile,Display,293.26,False,Mouser Electronics,Refurbished,440
PRT_MOB_DIS_0006,Sharp,Retina XDR Display Assembly,Mobile,Display,373.63,True,iFixit Pro,Certified Pre-Owned,450
PRT_MOB_BAT_0001,Samsung SDI,5000mAh High-Density Battery,Mobile,Battery,92.41,True,Digi-Key Electronics,New,95
PRT_MOB_BAT_0002,ATL,5000mAh High-Density Battery,Mobile,Battery,78.58,True,Digi-Key Electronics,Never Used (Old Stock),88
PRT_MOB_BAT_0003,CATL,5000mAh High-Density Battery,Mobile,Battery,91.84,False,Digi-Key Electronics,New,92
PRT_MOB_BAT_0004,Apple Certified,Smart Battery Case Module,Mobile,Battery,96.24,True,Digi-Key Electronics,Never Used (Old Stock),110
PRT_MOB_BAT_0005,Desay,Smart Battery Case Module,Mobile,Battery,86.36,False,iFixit Pro,Never Used (Old Stock),98
PRT_MOB_BAT_0006,Sunwoda,Smart Battery Case Module,Mobile,Battery,51.26,False,iFixit Pro,Used,95
PRT_MOB_BAT_0007,Murata,3700mAh Flagship Battery Cell,Mobile,Battery,70.12,True,iFixit Pro,Certified Pre-Owned,85
PRT_MOB_BAT_0008,TDK,3700mAh Flagship Battery Cell,Mobile,Battery,65.49,False,Digi-Key Electronics,Certified Pre-Owned,80
PRT_MOB_BAT_0009,Panasonic,3700mAh Flagship Battery Cell,Mobile,Battery,80.98,True,MobileSentrix,Never Used (Old Stock),88
PRT_MOB_PRO_0001,Qualcomm,Snapdragon 8 Gen 3 Logic Board,Mobile,Processor,673.25,False,Digi-Key Electronics,New,680
PRT_MOB_PRO_0002,TSMC OEM,Snapdragon 8 Gen 3 Logic Board,Mobile,Processor,443.77,True,MobileSentrix,Refurbished,650
PRT_MOB_PRO_0003,Samsung Fab,Snapdragon 8 Gen 3 Logic Board,Mobile,Processor,432.0,True,Digi-Key Electronics,Refurbished,640
PRT_MOB_PRO_0004,Apple Certified,A17 Pro Bionic Logic Board,Mobile,Processor,719.74,True,Digi-Key Electronics,New,720
PRT_MOB_PRO_0005,TSMC OEM,A17 Pro Bionic Logic Board,Mobile,Processor,685.17,True,iFixit Pro,New,695
PRT_MOB_PRO_0006,Foxconn,A17 Pro Bionic Logic Board,Mobile,Processor,555.38,True,iFixit Pro,Certified Pre-Owned,680
PRT_MOB_CAM_0001,Sony,48MP Camera Sensor Module,Mobile,Camera,212.54,True,iFixit Pro,Refurbished,320
PRT_MOB_CAM_0002,OmniVision,48MP Camera Sensor Module,Mobile,Camera,295.39,False,MobileSentrix,New,295
PRT_MOB_CAM_0003,Samsung LSI,48MP Camera Sensor Module,Mobile,Camera,209.1,False,iFixit Pro,Refurbished,305
PRT_MOB_CAM_0004,Samsung,Periscope Telephoto Module,Mobile,Camera,311.81,False,Mouser Electronics,Certified Pre-Owned,380
PRT_MOB_CAM_0005,LG Innotek,Periscope Telephoto Module,Mobile,Camera,359.52,True,iFixit Pro,New,360
PRT_MOB_CAM_0006,Sunny Optical,Periscope Telephoto Module,Mobile,Camera,344.2,True,Digi-Key Electronics,New,340
PRT_MOB_BIO_0001,Apple Certified,TrueDepth Camera Array,Mobile,Biometrics,488.66,True,Mouser Electronics,New,480
PRT_MOB_BIO_0002,Sony,TrueDepth Camera Array,Mobile,Biometrics,246.02,False,iFixit Pro,Used,445
PRT_MOB_BIO_0003,STMicro,TrueDepth Camera Array,Mobile,Biometrics,296.69,True,Digi-Key Electronics,Refurbished,430
PRT_MOB_BIO_0004,Qualcomm,Under-Display Fingerprint Sensor,Mobile,Biometrics,224.22,True,Digi-Key Electronics,New,220
PRT_MOB_BIO_0005,Goodix,Under-Display Fingerprint Sensor,Mobile,Biometrics,109.24,True,Mouser Electronics,Used,195
PRT_MOB_BIO_0006,ISSI,Under-Display Fingerprint Sensor,Mobile,Biometrics,165.47,True,Mouser Electronics,Never Used (Old Stock),185
PRT_MOB_CHA_0001,Apple Certified,USB-C Charging Port Assembly,Mobile,Charging,52.72,False,Digi-Key Electronics,Used,95
PRT_MOB_CHA_0002,Foxconn,USB-C Charging Port Assembly,Mobile,Charging,72.41,True,iFixit Pro,Never Used (Old Stock),82
PRT_MOB_CHA_0003,Amphenol,USB-C Charging Port Assembly,Mobile,Charging,73.98,True,iFixit Pro,Certified Pre-Owned,88
PRT_MOB_CHA_0004,Apple Certified,MagSafe Wireless Coil Assembly,Mobile,Charging,98.14,True,MobileSentrix,Refurbished,145
PRT_MOB_CHA_0005,TDK,MagSafe Wireless Coil Assembly,Mobile,Charging,86.36,False,iFixit Pro,Refurbished,128
PRT_MOB_CHA_0006,Witricity,MagSafe Wireless Coil Assembly,Mobile,Charging,131.71,True,Mouser Electronics,New,135
PRT_MOB_NET_0001,Qualcomm,Wi-Fi 7 Antenna Assembly,Mobile,Networking,132.37,True,Mouser Electronics,Refurbished,195
PRT_MOB_NET_0002,Murata,Wi-Fi 7 Antenna Assembly,Mobile,Networking,160.19,False,Digi-Key Electronics,Never Used (Old Stock),178
PRT_MOB_NET_0003,TDK,Wi-Fi 7 Antenna Assembly,Mobile,Networking,128.11,True,MobileSentrix,Refurbished,185
PRT_MOB_NET_0004,Qualcomm,5G mmWave Antenna Kit,Mobile,Networking,280.22,True,Mouser Electronics,New,285
PRT_MOB_NET_0005,Samsung LSI,5G mmWave Antenna Kit,Mobile,Networking,262.72,True,Mouser Electronics,New,265
PRT_MOB_NET_0006,MediaTek,5G mmWave Antenna Kit,Mobile,Networking,177.69,True,Mouser Electronics,Refurbished,258
PRT_MOB_AUD_0001,Apple Certified,Speaker Receiver Module,Mobile,Audio,146.81,True,Digi-Key Electronics,New,145
PRT_MOB_AUD_0002,GoerTek,Speaker Receiver Module,Mobile,Audio,102.05,True,MobileSentrix,Certified Pre-Owned,128
PRT_MOB_AUD_0003,AAC Tech,Speaker Receiver Module,Mobile,Audio,130.72,False,Mouser Electronics,New,132
PRT_MOB_AUD_0004,Apple Certified,Haptic Feedback Assembly,Mobile,Audio,85.16,True,MobileSentrix,Never Used (Old Stock),95
PRT_MOB_AUD_0005,AAC Tech,Haptic Feedback Assembly,Mobile,Audio,82.74,True,Digi-Key Electronics,New,82
PRT_MOB_AUD_0006,GoerTek,Haptic Feedback Assembly,Mobile,Audio,47.95,False,MobileSentrix,Used,88
PRT_MOB_POW_0001,Texas Instruments,Power Management IC,Mobile,Power Management,391.05,True,Mouser Electronics,New,380
PRT_MOB_POW_0002,Qualcomm,Power Management IC,Mobile,Power Management,310.45,True,Mouser Electronics,Never Used (Old Stock),355
PRT_MOB_POW_0003,MaxLinear,Power Management IC,Mobile,Power Management,279.98,True,Digi-Key Electronics,Certified Pre-Owned,340
PRT_MOB_POW_0004,Texas Instruments,Voltage Regulator Module,Mobile,Power Management,201.93,True,iFixit Pro,Never Used (Old Stock),220
PRT_MOB_POW_0005,Renesas,Voltage Regulator Module,Mobile,Power Management,203.31,True,Mouser Electronics,New,205
PRT_MOB_POW_0006,Analog Devices,Voltage Regulator Module,Mobile,Power Management,218.74,True,Mouser Electronics,New,215
PRT_IND_VFD_0001,Siemens,60Hz Active VFD Inverter,Industrial,VFD,9866.13,True,Motion Industries,Certified Pre-Owned,12240
PRT_IND_VFD_0002,ABB,60Hz Active VFD Inverter,Industrial,VFD,9682.9,False,Fastenal,Certified Pre-Owned,11800
PRT_IND_VFD_0003,Rockwell,60Hz Active VFD Inverter,Industrial,VFD,11937.7,False,Motion Industries,New,12000
PRT_IND_VFD_0004,Siemens,VFD Thyristor Stack,Industrial,VFD,2388.21,True,Fastenal,New,2450
PRT_IND_VFD_0005,ABB,VFD Thyristor Stack,Industrial,VFD,2345.79,True,Grainger Industrial Supply,New,2300
PRT_IND_VFD_0006,Schneider,VFD Thyristor Stack,Industrial,VFD,1612.59,True,Fastenal,Refurbished,2380
PRT_IND_VFD_0007,Siemens,VFD Control Card,Industrial,VFD,1794.76,False,Fastenal,New,1850
PRT_IND_VFD_0008,ABB,VFD Control Card,Industrial,VFD,1414.57,True,Fastenal,Certified Pre-Owned,1750
PRT_IND_VFD_0009,Fuji Electric,VFD Control Card,Industrial,VFD,1794.69,True,Fastenal,New,1800
PRT_IND_DRI_0001,ABB,Precision Frequency Drive (High-Torque),Industrial,Drive,6784.88,False,Global Industrial,New,6850
PRT_IND_DRI_0002,Siemens,Precision Frequency Drive (High-Torque),Industrial,Drive,5381.28,True,Motion Industries,Certified Pre-Owned,6500
PRT_IND_DRI_0003,Danfoss,Precision Frequency Drive (High-Torque),Industrial,Drive,6126.35,True,Global Industrial,New,6200
PRT_IND_DRI_0004,Siemens,Servo Drive Amplifier,Industrial,Drive,4140.79,True,Grainger Industrial Supply,New,4200
PRT_IND_DRI_0005,Fanuc,Servo Drive Amplifier,Industrial,Drive,3706.65,True,Fastenal,Certified Pre-Owned,4500
PRT_IND_DRI_0006,Mitsubishi,Servo Drive Amplifier,Industrial,Drive,4229.51,True,Global Industrial,New,4300
PRT_IND_HYD_0001,Caterpillar,High-Pressure Hydraulic Pump,Industrial,Hydraulics,8524.03,True,Motion Industries,New,8500
PRT_IND_HYD_0002,Parker,High-Pressure Hydraulic Pump,Industrial,Hydraulics,7827.94,True,Global Industrial,New,7800
PRT_IND_HYD_0003,Bosch Rexroth,High-Pressure Hydraulic Pump,Industrial,Hydraulics,6825.28,True,Global Industrial,Certified Pre-Owned,8100
PRT_IND_HYD_0004,Parker,Hydraulic Line Pressure Hose (HP),Industrial,Hydraulics,1282.54,True,Grainger Industrial Supply,New,1250
PRT_IND_HYD_0005,Gates,Hydraulic Line Pressure Hose (HP),Industrial,Hydraulics,1126.16,False,Motion Industries,New,1150
PRT_IND_HYD_0006,Eaton,Hydraulic Line Pressure Hose (HP),Industrial,Hydraulics,971.74,False,Global Industrial,Certified Pre-Owned,1200
PRT_IND_HYD_0007,Bosch Rexroth,Hydraulic Accumulator,Industrial,Hydraulics,2007.38,True,Motion Industries,Never Used (Old Stock),2200
PRT_IND_HYD_0008,Parker,Hydraulic Accumulator,Industrial,Hydraulics,1418.91,True,Fastenal,Refurbished,2050
PRT_IND_HYD_0009,Hydac,Hydraulic Accumulator,Industrial,Hydraulics,2124.52,True,Grainger Industrial Supply,New,2150
PRT_IND_CON_0001,Schneider,Digital Pressure Control Node,Industrial,Control,2684.31,True,Grainger Industrial Supply,Never Used (Old Stock),3025
PRT_IND_CON_0002,Siemens,Digital Pressure Control Node,Industrial,Control,2026.54,True,Global Industrial,Refurbished,2900
PRT_IND_CON_0003,Omron,Digital Pressure Control Node,Industrial,Control,2878.76,False,Motion Industries,New,2850
PRT_IND_CON_0004,Rockwell,CompactLogix HMI Interface,Industrial,Control,2795.79,True,Motion Industries,Refurbished,4138
PRT_IND_CON_0005,Siemens,CompactLogix HMI Interface,Industrial,Control,3849.57,True,Global Industrial,New,3950
PRT_IND_CON_0006,Mitsubishi,CompactLogix HMI Interface,Industrial,Control,3693.05,True,Global Industrial,New,3800
PRT_IND_CON_0007,Siemens,S7-1500 PLC CPU Module,Industrial,Control,1986.4,True,Motion Industries,Certified Pre-Owned,2450
PRT_IND_CON_0008,Allen-Bradley,S7-1500 PLC CPU Module,Industrial,Control,2689.51,True,Grainger Industrial Supply,New,2650
PRT_IND_CON_0009,Omron,S7-1500 PLC CPU Module,Industrial,Control,1571.6,True,Global Industrial,Refurbished,2350
PRT_IND_BEA_0001,SKF,Precision Angular Contact Bearing,Industrial,Bearings,2867.83,True,Global Industrial,New,2850
PRT_IND_BEA_0002,FAG,Precision Angular Contact Bearing,Industrial,Bearings,2688.61,True,Grainger Industrial Supply,New,2650
PRT_IND_BEA_0003,NSK,Precision Angular Contact Bearing,Industrial,Bearings,1502.92,False,Grainger Industrial Supply,Used,2750
PRT_IND_BEA_0004,SKF,Cylindrical Roller Bearing (Large),Industrial,Bearings,1551.88,True,Grainger Industrial Supply,Certified Pre-Owned,1850
PRT_IND_BEA_0005,FAG,Cylindrical Roller Bearing (Large),Industrial,Bearings,1763.91,True,Motion Industries,New,1750
PRT_IND_BEA_0006,Timken,Cylindrical Roller Bearing (Large),Industrial,Bearings,1007.46,True,Motion Industries,Used,1800
PRT_IND_SEA_0001,Parker,High-Pressure Rotary Seal Kit,Industrial,Seals,831.4,True,Fastenal,Refurbished,1250
PRT_IND_SEA_0002,Trelleborg,High-Pressure Rotary Seal Kit,Industrial,Seals,640.79,True,Motion Industries,Used,1150
PRT_IND_SEA_0003,Freudenberg,High-Pressure Rotary Seal Kit,Industrial,Seals,802.76,True,Grainger Industrial Supply,Refurbished,1200
PRT_IND_SEA_0004,Parker,Shaft Lip Seal Set,Industrial,Seals,226.68,True,Global Industrial,Certified Pre-Owned,280
PRT_IND_SEA_0005,Trelleborg,Shaft Lip Seal Set,Industrial,Seals,265.54,True,Motion Industries,New,260
PRT_IND_SEA_0006,NOK,Shaft Lip Seal Set,Industrial,Seals,221.13,False,Global Industrial,Certified Pre-Owned,270
PRT_IND_COO_0001,Siemens,Industrial Cooling Pump (Heavy),Industrial,Cooling,1678.63,True,Motion Industries,Never Used (Old Stock),1850
PRT_IND_COO_0002,Armstrong,Industrial Cooling Pump (Heavy),Industrial,Cooling,1718.45,True,Motion Industries,New,1700
PRT_IND_COO_0003,Grundfos,Industrial Cooling Pump (Heavy),Industrial,Cooling,1184.55,False,Global Industrial,Refurbished,1780
PRT_IND_COO_0004,Alfa Laval,Heat Exchanger Core Module,Industrial,Cooling,2113.85,True,Fastenal,Refurbished,3200
PRT_IND_COO_0005,GEA,Heat Exchanger Core Module,Industrial,Cooling,2426.97,True,Grainger Industrial Supply,Certified Pre-Owned,3050
PRT_IND_COO_0006,Kelvion,Heat Exchanger Core Module,Industrial,Cooling,3108.49,True,Grainger Industrial Supply,New,3100
PRT_IND_ELE_0001,Siemens,Motor Overload Relay,Industrial,Electrical,3292.07,False,Global Industrial,New,3200
PRT_IND_ELE_0002,ABB,Motor Overload Relay,Industrial,Electrical,2956.06,True,Global Industrial,New,2950
