fault_code,device_type,system_affected,root_cause,severity,avg_parts_cost,avg_labor_hours
ERR_USB_C,Mobile,Charging,USB-C Port Debris Pin Damage,1,95.0,0.8
ERR_FACE_ID,Mobile,Biometrics,TrueDepth Camera Misalignment,2,480.0,2.2
ERR_SPKR_BLW,Mobile,Audio,Speaker Voice Coil Blown,1,145.0,1.2
ERR_WIFI_AN_V001,Mobile,Networking,Antenna Signal Attenuation (Variant),1,169.09,1.6
ERR_WIFI_AN_V002,Mobile,Networking,Antenna Signal Attenuation (Variant),1,191.42,1.6
ERR_DISP_BRK_V003,Mobile,Display,Shattered Display Assembly LTPO OLED (Variant),2,708.05,2.2
ERR_CPU_TEM_V004,Mobile,Processor,Thermal Throttling Event (Variant),3,221.95,1.1
ERR_PWR_IC_V005,Mobile,Power Management,Charge Controller Short Circuit (Variant),3,328.63,1.3
ERR_WIFI_AN_V006,Mobile,Networking,Antenna Signal Attenuation (Variant),1,233.06,1.6
ERR_USB_C_V007,Mobile,Charging,USB-C Port Debris Pin Damage (Variant),1,87.29,0.8
ERR_DISP_BRK_V008,Mobile,Display,Shattered Display Assembly LTPO OLED (Variant),2,691.87,2.4
ERR_BATT_03_V009,Mobile,Battery,Degraded Capacity Below 70% (Variant),2,215.43,1.4
ERR_DISP_BRK_V010,Mobile,Display,Shattered Display Assembly LTPO OLED (Variant),2,747.94,2.8
ERR_BATT_01_V011,Mobile,Battery,Lithium Ion Cell Swelling (Variant),3,267.05,1.7
ERR_WIFI_AN_V012,Mobile,Networking,Antenna Signal Attenuation (Variant),1,166.67,1.9
ERR_PWR_IC_V013,Mobile,Power Management,Charge Controller Short Circuit (Variant),3,406.92,1.4
ERR_PWR_IC_V014,Mobile,Power Management,Charge Controller Short Circuit (Variant),3,383.35,1.5
ERR_DISP_BRK_V015,Mobile,Display,Shattered Display Assembly LTPO OLED (Variant),2,571.04,2.8
ERR_BATT_01_V016,Mobile,Battery,Lithium Ion Cell Swelling (Variant),3,219.22,2.1
ERR_DISP_01_V017,Mobile,Display,Organic LED Flicker Pro-Grade (Variant),1,398.8,1.4
ERR_PWR_IC_V018,Mobile,Power Management,Charge Controller Short Circuit (Variant),3,314.92,1.6
ERR_USB_C_V019,Mobile,Charging,USB-C Port Debris Pin Damage (Variant),1,106.53,0.8
ERR_WIFI_AN_V020,Mobile,Networking,Antenna Signal Attenuation (Variant),1,166.23,1.8
ERR_PWR_IC_V021,Mobile,Power Management,Charge Controller Short Circuit (Variant),3,364.35,1.7
ERR_PWR_IC_V022,Mobile,Power Management,Charge Controller Short Circuit (Variant),3,341.65,1.5
ERR_SPKR_BLW_V023,Mobile,Audio,Speaker Voice Coil Blown (Variant),1,138.65,1.3
ERR_CPU_TEM_V024,Mobile,Processor,Thermal Throttling Event (Variant),3,228.32,1.2
ERR_DISP_01_V025,Mobile,Display,Organic LED Flicker Pro-Grade (Variant),1,353.14,1.1
ERR_FACE_ID_V026,Mobile,Biometrics,TrueDepth Camera Misalignment (Variant),2,546.52,2.3
ERR_CPU_TEM_V027,Mobile,Processor,Thermal Throttling Event (Variant),3,252.74,1.2
ERR_WIFI_AN_V028,Mobile,Networking,Antenna Signal Attenuation (Variant),1,195.31,1.6
ERR_USB_C_V029,Mobile,Charging,USB-C Port Debris Pin Damage (Variant),1,92.65,0.9
ERR_BATT_01_V030,Mobile,Battery,Lithium Ion Cell Swelling (Variant),3,277.41,2.0
ERR_CAM_MOD_V031,Mobile,Camera,Optical Image Stabilizer Failure (Variant),2,274.86,1.8
ERR_SPKR_BLW_V032,Mobile,Audio,Speaker Voice Coil Blown (Variant),1,152.42,1.0
ERR_WIFI_AN_V033,Mobile,Networking,Antenna Signal Attenuation (Variant),1,197.55,1.8
ERR_DISP_01_V034,Mobile,Display,Organic LED Flicker Pro-Grade (Variant),1,418.66,1.2
ERR_USB_C_V035,Mobile,Charging,USB-C Port Debris Pin Damage (Variant),1,107.23,0.7
ERR_PWR_IC_V036,Mobile,Power Management,Charge Controller Short Circuit (Variant),3,374.23,1.6
ERR_CPU_TEM_V037,Mobile,Processor,Thermal Throttling Event (Variant),3,221.3,1.0
ERR_PWR_IC_V038,Mobile,Power Management,Charge Controller Short Circuit (Variant),3,311.73,1.7
ERR_WIFI_AN_V039,Mobile,Networking,Antenna Signal Attenuation (Variant),1,227.75,1.9
ERR_WIFI_AN_V040,Mobile,Networking,Antenna Signal Attenuation (Variant),1,222.45,1.7
ERR_PWR_IC_V041,Mobile,Power Management,Charge Controller Short Circuit (Variant),3,364.56,1.6
ERR_SPKR_BLW_V042,Mobile,Audio,Speaker Voice Coil Blown (Variant),1,150.58,1.1
ERR_SPKR_BLW_V043,Mobile,Audio,Speaker Voice Coil Blown (Variant),1,117.61,1.3
ERR_CPU_TEM_V044,Mobile,Processor,Thermal Throttling Event (Variant),3,231.42,1.3
ERR_USB_C_V045,Mobile,Charging,USB-C Port Debris Pin Damage (Variant),1,79.63,0.8
ERR_CAM_MOD_V046,Mobile,Camera,Optical Image Stabilizer Failure (Variant),2,284.66,1.8
ERR_PWR_IC_V047,Mobile,Power Management,Charge Controller Short Circuit (Variant),3,383.88,1.6
ERR_FACE_ID_V048,Mobile,Biometrics,TrueDepth Camera Misalignment (Variant),2,473.47,2.4
ERR_WIFI_AN_V049,Mobile,Networking,Antenna Signal Attenuation (Variant),1,214.65,1.8
ERR_USB_C_V050,Mobile,Charging,USB-C Port Debris Pin Damage (Variant),1,109.71,0.9
ERR_BATT_03_V051,Mobile,Battery,Degraded Capacity Below 70% (Variant),2,260.08,1.5
ERR_SPKR_BLW_V052,Mobile,Audio,Speaker Voice Coil Blown (Variant),1,139.2,1.1
ERR_PWR_IC_V053,Mobile,Power Management,Charge Controller Short Circuit (Variant),3,428.2,1.7
ERR_DISP_01_V054,Mobile,Display,Organic LED Flicker Pro-Grade (Variant),1,343.01,1.2
ERR_SPKR_BLW_V055,Mobile,Audio,Speaker Voice Coil Blown (Variant),1,151.76,1.1
ERR_USB_C_V056,Mobile,Charging,USB-C Port Debris Pin Damage (Variant),1,77.34,0.8
ERR_WIFI_AN_V057,Mobile,Networking,Antenna Signal Attenuation (Variant),1,172.35,1.6
ERR_CPU_TEM_V058,Mobile,Processor,Thermal Throttling Event (Variant),3,208.27,1.0
ERR_DISP_BRK_V059,Mobile,Display,Shattered Display Assembly LTPO OLED (Variant),2,596.0,2.2
ERR_CAM_MOD_V060,Mobile,Camera,Optical Image Stabilizer Failure (Variant),2,294.47,2.0
ERR_SPKR_BLW_V061,Mobile,Audio,Speaker Voice Coil Blown (Variant),1,162.09,1.0
ERR_BATT_01_V062,Mobile,Battery,Lithium Ion Cell Swelling (Variant),3,220.57,2.0
ERR_BATT_03_V063,Mobile,Battery,Degraded Capacity Below 70% (Variant),2,210.67,1.6
ERR_BATT_01_V064,Mobile,Battery,Lithium Ion Cell Swelling (Variant),3,233.9,2.1
ERR_USB_C_V065,Mobile,Charging,USB-C Port Debris Pin Damage (Variant),1,108.77,0.9
ERR_PWR_IC_V066,Mobile,Power Management,Charge Controller Short Circuit (Variant),3,388.1,1.3
ERR_CAM_MOD_V067,Mobile,Camera,Optical Image Stabilizer Failure (Variant),2,361.03,2.0
ERR_WIFI_AN_V068,Mobile,Networking,Antenna Signal Attenuation (Variant),1,222.86,1.8
ERR_DISP_01_V069,Mobile,Display,Organic LED Flicker Pro-Grade (Variant),1,422.14,1.1
ERR_BATT_03_V070,Mobile,Battery,Degraded Capacity Below 70% (Variant),2,209.53,1.5
ERR_USB_C_V071,Mobile,Charging,USB-C Port Debris Pin Damage (Variant),1,91.61,0.9
ERR_PWR_IC_V072,Mobile,Power Management,Charge Controller Short Circuit (Variant),3,327.83,1.4
ERR_WIFI_AN_V073,Mobile,Networking,Antenna Signal Attenuation (Variant),1,164.63,1.7
ERR_FACE_ID_V074,Mobile,Biometrics,TrueDepth Camera Misalignment (Variant),2,425.56,2.1
ERR_USB_C_V075,Mobile,Charging,USB-C Port Debris Pin Damage (Variant),1,107.34,0.9
ERR_CPU_TEM_V076,Mobile,Processor,Thermal Throttling Event (Variant),3,226.7,1.2
ERR_USB_C_V077,Mobile,Charging,USB-C Port Debris Pin Damage (Variant),1,76.44,0.8
ERR_PWR_IC_V078,Mobile,Power Management,Charge Controller Short Circuit (Variant),3,322.09,1.5
ERR_SPKR_BLW_V079,Mobile,Audio,Speaker Voice Coil Blown (Variant),1,144.31,1.1
ERR_CAM_MOD_V080,Mobile,Camera,Optical Image Stabilizer Failure (Variant),2,346.64,1.8
ERR_FACE_ID_V081,Mobile,Biometrics,TrueDepth Camera Misalignment (Variant),2,492.32,2.5
ERR_FACE_ID_V082,Mobile,Biometrics,TrueDepth Camera Misalignment (Variant),2,545.72,2.4
ERR_DISP_01_V083,Mobile,Display,Organic LED Flicker Pro-Grade (Variant),1,371.41,1.2
ERR_FACE_ID_V084,Mobile,Biometrics,TrueDepth Camera Misalignment (Variant),2,521.23,2.3
ERR_BATT_03_V085,Mobile,Battery,Degraded Capacity Below 70% (Variant),2,232.82,1.6
ERR_SPKR_BLW_V086,Mobile,Audio,Speaker Voice Coil Blown (Variant),1,143.61,1.1
ERR_FACE_ID_V087,Mobile,Biometrics,TrueDepth Camera Misalignment (Variant),2,430.8,2.1
ERR_FACE_ID_V088,Mobile,Biometrics,TrueDepth Camera Misalignment (Variant),2,388.09,2.3
ERR_WIFI_AN_V089,Mobile,Networking,Antenna Signal Attenuation (Variant),1,214.1,1.8
ERR_FACE_ID_V090,Mobile,Biometrics,TrueDepth Camera Misalignment (Variant),2,419.0,2.3
ERR_WIFI_AN_V091,Mobile,Networking,Antenna Signal Attenuation (Variant),1,196.41,1.8
ERR_WIFI_AN_V092,Mobile,Networking,Antenna Signal Attenuation (Variant),1,202.93,2.0
ERR_BATT_03_V093,Mobile,Battery,Degraded Capacity Below 70% (Variant),2,214.16,1.3
ERR_DISP_BRK_V094,Mobile,Display,Shattered Display Assembly LTPO OLED (Variant),2,574.06,2.8
ERR_USB_C_V095,Mobile,Charging,USB-C Port Debris Pin Damage (Variant),1,91.59,0.9
ERR_USB_C_V096,Mobile,Charging,USB-C Port Debris Pin Damage (Variant),1,109.92,0.8
ERR_PWR_IC_V097,Mobile,Power Management,Charge Controller Short Circuit (Variant),3,319.68,1.3
ERR_FACE_ID_V098,Mobile,Biometrics,TrueDepth Camera Misalignment (Variant),2,398.37,2.4
ERR_CPU_TEM_V099,Mobile,Processor,Thermal Throttling Event (Variant),3,210.64,1.3
ERR_CAM_MOD_V100,Mobile,Camera,Optical Image Stabilizer Failure (Variant),2,349.58,1.8
ERR_PWR_IC_V101,Mobile,Power Management,Charge Controller Short Circuit (Variant),3,398.38,1.5
ERR_BATT_01_V102,Mobile,Battery,Lithium Ion Cell Swelling (Variant),3,215.84,1.7
ERR_DISP_BRK_V103,Mobile,Display,Shattered Display Assembly LTPO OLED (Variant),2,755.71,2.6
ERR_DISP_BRK_V104,Mobile,Display,Shattered Display Assembly LTPO OLED (Variant),2,626.73,2.8
ERR_DISP_BRK_V105,Mobile,Display,Shattered Display Assembly LTPO OLED (Variant),2,600.21,2.3
ERR_SPKR_BLW_V106,Mobile,Audio,Speaker Voice Coil Blown (Variant),1,172.24,1.2
ERR_CPU_TEM_V107,Mobile,Processor,Thermal Throttling Event (Variant),3,284.82,1.0
ERR_CAM_MOD_V108,Mobile,Camera,Optical Image Stabilizer Failure (Variant),2,378.36,1.7
ERR_USB_C_V109,Mobile,Charging,USB-C Port Debris Pin Damage (Variant),1,106.25,0.7
ERR_CAM_MOD_V110,Mobile,Camera,Optical Image Stabilizer Failure (Variant),2,263.62,1.5
ERR_WIFI_AN_V111,Mobile,Networking,Antenna Signal Attenuation (Variant),1,169.36,1.6
ERR_PWR_IC_V112,Mobile,Power Management,Charge Controller Short Circuit (Variant),3,380.08,1.5
ERR_DISP_01_V113,Mobile,Display,Organic LED Flicker Pro-Grade (Variant),1,325.37,1.1
ERR_CPU_TEM_V114,Mobile,Processor,Thermal Throttling Event (Variant),3,259.81,1.2
E1,Appliance,Water System,Inlet Valve Obstruction,2,145.0,3.5
E2,Appliance,Drainage,Sump Pump Timeout,2,350.0,4.2
E4,Appliance,Motor,Drum Induction Error,3,585.0,4.8
E6,Appliance,Heating,Thermal Fuse Blown,3,125.0,2.2
ERR_APP_CORE,Appliance,Heating,Severe Component Corrosion,3,450.0,5.5
F1,Appliance,Latch,Door Interlock Failure,2,220.0,2.5
F2,Appliance,Fan,Convection Blower Jammed,1,125.0,2.5
E7,Appliance,Control,Control Board Memory Fault,3,380.0,4.0
E9,Appliance,Sensor,NTC Thermistor Open Circuit,2,55.0,1.5
ERR_ICE_MKR,Appliance,Ice System,Ice Maker Auger Motor Seized,2,195.0,2.8
ERR_DISP_APP,Appliance,Display,Touchscreen Panel Fault,1,165.0,2.0
ERR_CMPRS,Appliance,Refrigeration,Compressor Start Relay Failure,3,425.0,5.0
ERR_SEAL_LK,Appliance,Seals,Door Gasket Seal Degradation,1,85.0,1.5
ERR_DISP_APP_V001,Appliance,Display,Touchscreen Panel Fault (Variant),1,194.44,2.0
ERR_CMPRS_V002,Appliance,Refrigeration,Compressor Start Relay Failure (Variant),3,401.57,4.7
ERR_SEAL_LK_V003,Appliance,Seals,Door Gasket Seal Degradation (Variant),1,101.52,1.5
E7_V004,Appliance,Control,Control Board Memory Fault (Variant),3,441.57,4.2
ERR_CMPRS_V005,Appliance,Refrigeration,Compressor Start Relay Failure (Variant),3,408.82,5.4
ERR_ICE_MKR_V006,Appliance,Ice System,Ice Maker Auger Motor Seized (Variant),2,226.33,3.1
ERR_DISP_APP_V007,Appliance,Display,Touchscreen Panel Fault (Variant),1,155.89,2.2
ERR_ICE_MKR_V008,Appliance,Ice System,Ice Maker Auger Motor Seized (Variant),2,185.72,3.1
ERR_SEAL_LK_V009,Appliance,Seals,Door Gasket Seal Degradation (Variant),1,78.14,1.7
E9_V010,Appliance,Sensor,NTC Thermistor Open Circuit (Variant),2,46.34,1.4
E7_V011,Appliance,Control,Control Board Memory Fault (Variant),3,420.35,3.4
ERR_SEAL_LK_V012,Appliance,Seals,Door Gasket Seal Degradation (Variant),1,79.47,1.6
ERR_ICE_MKR_V013,Appliance,Ice System,Ice Maker Auger Motor Seized (Variant),2,189.44,2.4
E2_V014,Appliance,Drainage,Sump Pump Timeout (Variant),2,378.46,3.7
ERR_SEAL_LK_V015,Appliance,Seals,Door Gasket Seal Degradation (Variant),1,77.05,1.6
ERR_ICE_MKR_V016,Appliance,Ice System,Ice Maker Auger Motor Seized (Variant),2,159.87,2.4
E7_V017,Appliance,Control,Control Board Memory Fault (Variant),3,454.5,4.4
ERR_DISP_APP_V018,Appliance,Display,Touchscreen Panel Fault (Variant),1,143.15,1.8
E9_V019,Appliance,Sensor,NTC Thermistor Open Circuit (Variant),2,59.26,1.5
ERR_CMPRS_V020,Appliance,Refrigeration,Compressor Start Relay Failure (Variant),3,467.68,5.4
E9_V021,Appliance,Sensor,NTC Thermistor Open Circuit (Variant),2,45.0,1.7
E2_V022,Appliance,Drainage,Sump Pump Timeout (Variant),2,291.24,4.7
